Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,452660,447762,422757,474338,486207,503617,591812,599827,550238,462263,358012,307321,5656814
Pelabuhan Laut,8164,6223,2742,3126,3169,524,234,2057,282,2822,2994,8588,40925
Jumlah,460824,453985,425499,477464,489376,504141,592046,601884,550520,465085,361006,315909,5697739
