Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2009,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,173867,146115,167954,188189,190638,200503,234984,232090,218199,221059,184622,221604,2379824
Pelabuhan Laut,674,1589,251,587,165,63,214,165,244,223,181,942,5298
Jumlah,174541,147704,168205,188776,190803,200566,235198,232255,218443,221282,184803,222546,2385122
