Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2010,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,178185,191293,191125,184230,199401,225119,251834,242987,232336,229651,196856,222497,2545514
Pelabuhan Laut,1088,633,1454,677,3987,2926,3073,167,8611,253,3005,4754,30628
Jumlah,179273,191926,192579,184907,203388,228045,254907,243154,240947,229904,199861,227251,2576142
