Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2016,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,343663,367024,354778,367370,394443,405686,482201,437929,442304,423140,396150,437946,4852634
Pelabuhan Laut,6929,8720,9335,13397,114,149,2030,206,3412,9075,17082,4854,75303
Jumlah,350592,375744,364113,380767,394557,405835,484231,438135,445716,432215,413232,442800,4927937
