Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,451708,436266,441707,476104,483928,549483,604310,602457,589984,565966,492904,544726,6239543
Pelabuhan Laut,3862,1190,7862,965,2674,33,13,3955,414,2001,5021,7677,35667
Jumlah,455570,437456,449569,477069,486602,549516,604323,606412,590398,567967,497925,552403,6275210
