Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,288755,333072,294737,309888,287141,357712,381890,298638,379397,366759,262180,363780,3923949
Pelabuhan Laut,12993,5919,10535,3875,8832,1990,793,4983,9663,2688,8755,6860,77886
Jumlah,301748,338991,305272,313763,295973,359702,382683,303621,389060,369447,270935,370640,4001835
