Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2014,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,278685,269367,268418,277925,285965,329654,358907,336628,352017,339200,293858,341111,3731735
Pelabuhan Laut,572,6428,8155,2171,68,742,2159,135,2745,2451,3018,6259,34903
Jumlah,279257,275795,276573,280096,286033,330396,361066,336763,354762,341651,296876,347370,3766638
