Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,414937,454398,463804,502870,544492,520792,625569,613540,591848,554892,472714,548685,6308541
Pelabuhan Laut,5100,879,5423,324,109,106,96,3101,2061,5019,186,2415,24819
Jumlah,420037,455277,469227,503194,544601,520898,625665,616641,593909,559911,472900,551100,6333360
