Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,329909,317005,366956,410281,439454,478127,541272,522063,508297,458845,397522,478382,5248113
Pelabuhan Laut,1876,6505,3739,1229,21,71,81,78,53,2596,5632,3264,25145
Jumlah,331785,323510,370695,411510,439475,478198,541353,522141,508350,461441,403154,481646,5273258
