Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,345191,443805,484846,516143,526281,540462,624337,572027,555888,515859,406679,495641,6027159
Pelabuhan Laut,12874,8618,7832,634,2231,4088,29,1739,15,2030,46,3178,43314
Jumlah,358065,452423,492678,516777,528512,544550,624366,573766,555903,517889,406725,498819,6070473
