Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2012,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,249728,209160,222950,222657,220508,241108,271371,253970,255717,252716,237874,264366,2902125
Pelabuhan Laut,3558,16833,8007,2831,192,2972,141,109,1646,2305,4907,3706,47207
Jumlah,253286,225993,230957,225488,220700,244080,271512,254079,257363,255021,242781,268072,2949332
