Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2011,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,208337,201457,202539,224423,208832,245248,279219,252698,252855,244421,220341,248336,2788706
Pelabuhan Laut,756,5738,5368,281,226,404,4305,5679,5585,3144,1262,5255,38003
Jumlah,209093,207195,207907,224704,209058,245652,283524,258377,258440,247565,221603,253591,2826709
